recommendation_id,steam_id,num_games_owned,num_reviews_by_author,playtime_forever_minutes,playtime_last_two_weeks_minutes,last_played_timestamp,language,review_text,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,timestamp_created_readable,timestamp_updated_readable,last_played_timestamp_readable,playtime_forever_hours,playtime_last_two_weeks_hours
194273633,76561198072698219,104,5,1047,216,1747375598,koreana,브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라 브가 인게임에서 볼 수 있게 해줘라 아니면 유튜브에 올려줘라,1746432338,1746432338,True,9,0,0.651162803173065186,0,True,False,True,2025-05-05 08:05:38,2025-05-05 08:05:38,2025-05-16 06:06:38,17.4,3.6
193228109,76561198051382029,0,26,1328,2,1746762528,koreana,"모든연구일지 완 모든 곡 해금완 하구 써보는 후기

아직 얼리인만큼 많은걸 기대안하고 했지만 상당히 완성도가있는게임
귀여운 캐릭터들 맛있는 타격음 다양한 곡들 앞으로의 가능성이 높아보이는 게임

아직은 많은게 부족해보이지만 부족한걸 다른 장점으로 메꾸는 느낌 상당히 만족스러운 게임인듯",1745193968,1745193968,True,10,0,0.619712471961975098,1,True,False,True,2025-04-21 00:06:08,2025-04-21 00:06:08,2025-05-09 03:48:48,22.1,0.0
193476211,76561198074675662,0,20,359,11,1747487389,koreana,"판정이 겁나 널널 + 사이드 트랙이 존재하는 난이도가 별도로 존재
라이트 유저분들도 무난하게 하실수 있을거같은 느낌이네요
노래 구성도 맛있어요

피치노트 걱정했는데 생각보다 괜춘한듯여",1745498805,1745509138,True,5,0,0.583333313465118408,0,True,False,True,2025-04-24 12:46:45,2025-04-24 15:38:58,2025-05-17 13:09:49,6.0,0.2
194027059,76561198857689034,0,7,213,73,1746861935,koreana,"아직 많이 모자른 게임
 가격이 3만원 중반대 인것에 비해 컨텐츠가 많이 모자르다
 각 곡마다 4키 6키 난이도 세분화를 해서 모든 난이도를 만든것도 아니고 비어있는 난이도도 있을뿐더러
 곡 수도 매우 적다. 곡이 매우 적은데 해금요소도 넣은게 약간 짜친다
 아직은 플레이하면서 이게 이가격이라고?라는 생각이 든다
 앞으로의 성장 가능성은 있으나 지금은 이돈주고 살 게임은 아니라고 본다
",1746161128,1746161128,False,9,0,0.615888118743896484,0,True,False,True,2025-05-02 04:45:28,2025-05-02 04:45:28,2025-05-10 07:25:35,3.6,1.2
193310433,76561198163950329,299,50,342,0,1745727198,koreana,"뭐? 작곡가 라인업에 소브렘?
WA! 소브렘님! [strike] 현피떠요! [/strike] 팬미팅해요!

",1745288951,1745288951,True,4,0,0.552450001239776611,1,True,False,True,2025-04-22 02:29:11,2025-04-22 02:29:11,2025-04-27 04:13:18,5.7,0.0
193952259,76561198380708229,0,4,408,11,1747280109,koreana,"다행히 해금조건 완화된 이후에 시작해서 불쾌한 경험도 없이 잘 즐기고 있습니다
정발시 추가될 악곡들 기대해도 되겠죠?",1746076125,1746076125,True,3,0,0.545454561710357666,0,True,False,True,2025-05-01 05:08:45,2025-05-01 05:08:45,2025-05-15 03:35:09,6.8,0.2
193826041,76561199189903127,0,2,721,0,1746473764,koreana,"게임자체는 할만하고 좋은데 Fx노트가 있는거랑 없는건 다른게임수준인데 레이팅점수를 같이 책정해놓은건 좀 아니라고봄
plus랑 노말모드 레이팅을 따로 분리해야할 필요성이 있을거같음
",1745912785,1745912785,True,2,0,0.545454561710357666,0,True,False,True,2025-04-29 07:46:25,2025-04-29 07:46:25,2025-05-05 19:36:04,12.0,0.0
194215528,76561198201996886,1223,250,141,0,1744360897,koreana,"처음에 이 게임에 대한 정보를 접할때만해도 뭔가 크게 기대가 안됐는데
비슷하게 느껴지는 동글동글한 느낌의 모 게임(대충망고빙수어쩌구)의 행적이 아무래도 겹쳐보였음

그래서그런지 기대이상의 퀄리티로 나와서 나도 그냥 펀딩할 걸~ 

하지만 단점이 좀 크다고 느껴지는것도 있는데 아무래도 완성도를 깎아내는 디테일들이 눈에 띔
점차 나아질거라보지만 얼엑기준으로 플레이환경에서 미개발로 느껴지는 부분들이 상당히 많다고 느껴짐

응원합니다",1746370267,1746370267,True,2,0,0.54356849193572998,0,True,False,True,2025-05-04 14:51:07,2025-05-04 14:51:07,2025-04-11 08:41:37,2.4,0.0
194034804,76561198099147478,0,13,1527,739,1746884076,koreana,"곡, 채보, 다 무난하게 괜찮은 것 같아요.
특수 기믹으로 등장하는 엔터키가 꽤 치는 맛이 있고 파트 클리어 효과음이 진짜 맛깔납니다.

다만 난이도 순 정렬 기능에 왜 플러스 난이도와 일반 난이도가 혼재되어있는지 모르겠네요, 도저히 같은 키라고 볼 수 없는 난이도인데 혼재되어 있으니 원하는 키의 원하는 난이도를 둘러보기 불편합니다.

그리고 엔터키 기믹이 재밌다고 생각했는데 정작 해당 기믹이 나오는 곡이 적어서 아쉬웠습니다.",1746172921,1746346347,True,1,0,0.523809552192687988,0,True,False,True,2025-05-02 08:02:01,2025-05-04 08:12:27,2025-05-10 13:34:36,25.4,12.3
193708842,76561199046864976,58,24,296,0,1746243790,koreana,"UI가 독특하고 유려함.
수록곡들이 리듬게임을 처음 접하는 이들과 깊이 접해본 이들 모두 만족할만하다.
모두가가 쉽게 할 수 있는 해금 시스템, 타격감 좋은 게임 플레이.
퍼펙트 판정 자체는 널널해서 퍼펙트 달성은 어렵지 않지만, 퍼펙트 하이 판정만으로 퍼펙트를 유지하는 것은 쉽지 않기 때문에 마냥 쉽다고는 할 수 없다.

추후에 행보가 매우 기대되는 게임이다.",1745763212,1745764722,True,1,0,0.523809552192687988,0,True,False,True,2025-04-27 14:13:32,2025-04-27 14:38:42,2025-05-03 03:43:10,4.9,0.0
